,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistViewUrl,trackRentalPrice,collectionHdPrice,trackHdPrice,trackHdRentalPrice,contentAdvisoryRating,shortDescription,longDescription,hasITunesExtras,collectionArtistName
0,track,song,32940.0,159292399.0,159294478,Michael Jackson,The Essential Michael Jackson,Man In the Mirror,The Essential Michael Jackson,Man In the Mirror,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/man-in-the-mirror/159292399?i=159294478&uo=4,https://music.apple.com/us/album/man-in-the-mirror/159292399?i=159294478&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/cd/11/63/cd1163c6-3a50-550d-50ab-40c0a4c04df2/mzaf_12549081475469058124.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1987-08-31T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,5.0,320905,USA,USD,Pop,True,,,,,,,,,,,
1,track,song,32940.0,159292399.0,159293848,Michael Jackson,The Essential Michael Jackson,Billie Jean,The Essential Michael Jackson,Billie Jean (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/billie-jean-single-version/159292399?i=159293848&uo=4,https://music.apple.com/us/album/billie-jean-single-version/159292399?i=159293848&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/4f/ec/3e/4fec3ef8-c17c-394d-3573-a0a2aabd8889/mzaf_12729007880218988606.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1982-11-30T08:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,16.0,294601,USA,USD,Pop,True,,,,,,,,,,,
2,track,song,32940.0,159292399.0,159294311,Michael Jackson,The Essential Michael Jackson,Thriller,The Essential Michael Jackson,Thriller (2003 Edit),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/thriller-2003-edit/159292399?i=159294311&uo=4,https://music.apple.com/us/album/thriller-2003-edit/159292399?i=159294311&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/00/13/3c/00133c94-7a87-30d5-91ea-31c034a8f967/mzaf_2732778722635858690.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,2003-11-18T08:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,21.0,312967,USA,USD,Pop,True,,,,,,,,,,,
3,track,song,32940.0,159292399.0,159294551,Michael Jackson,The Essential Michael Jackson,Smooth Criminal,The Essential Michael Jackson,Smooth Criminal,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/smooth-criminal/159292399?i=159294551&uo=4,https://music.apple.com/us/album/smooth-criminal/159292399?i=159294551&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/15/5c/43/155c43f0-7032-cf3f-bf14-8706c9828ec6/mzaf_12103726194908398282.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1987-08-31T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,8.0,258635,USA,USD,Pop,True,,,,,,,,,,,
4,track,song,32940.0,159292399.0,159294060,Michael Jackson,The Essential Michael Jackson,Beat It,The Essential Michael Jackson,Beat It (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/beat-it-single-version/159292399?i=159294060&uo=4,https://music.apple.com/us/album/beat-it-single-version/159292399?i=159294060&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/53/df/b7/53dfb78b-270d-731f-df1d-79ddc8d06b25/mzaf_24126853876427821.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1982-11-30T08:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,17.0,259085,USA,USD,Pop,True,,,,,,,,,,,
5,track,song,32940.0,159292399.0,159293312,Michael Jackson,The Essential Michael Jackson,Don't Stop 'Til You Get Enough,The Essential Michael Jackson,Don't Stop 'Til You Get Enough,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/dont-stop-til-you-get-enough/159292399?i=159293312&uo=4,https://music.apple.com/us/album/dont-stop-til-you-get-enough/159292399?i=159293312&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/3a/28/af/3a28afcb-42be-624a-13e5-cfee35bc5615/mzaf_17942998418733275855.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1979-07-10T07:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,10.0,364834,USA,USD,Pop,True,,,,,,,,,,,
6,track,song,32940.0,159292399.0,159294429,Michael Jackson,The Essential Michael Jackson,The Way You Make Me Feel,The Essential Michael Jackson,The Way You Make Me Feel (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/the-way-you-make-me-feel-single-version/159292399?i=159294429&uo=4,https://music.apple.com/us/album/the-way-you-make-me-feel-single-version/159292399?i=159294429&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/f7/71/0d/f7710df1-6759-e4a9-88db-62d5e7377a8d/mzaf_333115880011959659.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1987-08-31T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,4.0,267151,USA,USD,Pop,True,,,,,,,,,,,
7,track,song,32940.0,159292399.0,159294296,Michael Jackson,The Essential Michael Jackson,P.Y.T. (Pretty Young Thing),The Essential Michael Jackson,P.Y.T. (Pretty Young Thing),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/p-y-t-pretty-young-thing/159292399?i=159294296&uo=4,https://music.apple.com/us/album/p-y-t-pretty-young-thing/159292399?i=159294296&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/62/13/0d/62130dbe-5459-01dd-3fe0-3e7b7e7ac12c/mzaf_14007917100988484734.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1982-11-30T08:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,20.0,239763,USA,USD,Pop,True,,,,,,,,,,,
8,track,song,32940.0,159292399.0,159294814,Michael Jackson,The Essential Michael Jackson,Black or White,The Essential Michael Jackson,Black or White,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/black-or-white/159292399?i=159294814&uo=4,https://music.apple.com/us/album/black-or-white/159292399?i=159294814&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/f9/10/eb/f910eb47-edde-448c-0bca-7669523b83fe/mzaf_137384632099147941.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1991-11-11T08:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,9.0,256562,USA,USD,Pop,True,,,,,,,,,,,
9,track,song,32940.0,159292399.0,159294345,Michael Jackson,The Essential Michael Jackson,Bad,The Essential Michael Jackson,Bad,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/bad/159292399?i=159294345&uo=4,https://music.apple.com/us/album/bad/159292399?i=159294345&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/d3/7f/a3/d37fa37a-3d34-bc99-786b-c47ea0235d02/mzaf_13030358004508901115.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1987-08-31T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,1.0,246670,USA,USD,Pop,True,,,,,,,,,,,
10,track,song,32940.0,159292399.0,159293419,Michael Jackson,The Essential Michael Jackson,Rock With You,The Essential Michael Jackson,Rock With You (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/rock-with-you-single-version/159292399?i=159293419&uo=4,https://music.apple.com/us/album/rock-with-you-single-version/159292399?i=159293419&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/fa/75/5c/fa755cec-d37d-32e1-2f5b-95ed4b196af1/mzaf_784968037044920496.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1979-08-10T07:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,11.0,204194,USA,USD,Pop,True,,,,,,,,,,,
11,track,song,32940.0,159292399.0,159294485,Michael Jackson,The Essential Michael Jackson,Dirty Diana,The Essential Michael Jackson,Dirty Diana,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/dirty-diana/159292399?i=159294485&uo=4,https://music.apple.com/us/album/dirty-diana/159292399?i=159294485&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/41/98/35/4198353a-ba46-2bc2-f5ce-d5316a3e1b2e/mzaf_707453884509876040.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1987-08-31T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,6.0,282596,USA,USD,Pop,True,,,,,,,,,,,
12,track,song,32940.0,159292399.0,159294254,Michael Jackson,The Essential Michael Jackson,Human Nature,The Essential Michael Jackson,Human Nature (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/human-nature-single-version/159292399?i=159294254&uo=4,https://music.apple.com/us/album/human-nature-single-version/159292399?i=159294254&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/5d/29/4a/5d294a9b-cf16-5d75-5d15-64abeb72ed26/mzaf_1487833623706589694.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1982-11-30T08:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,19.0,227245,USA,USD,Pop,True,,,,,,,,,,,
13,track,song,32940.0,159292399.0,159294123,Michael Jackson,The Essential Michael Jackson,Wanna Be Startin' Somethin',The Essential Michael Jackson,Wanna Be Startin' Somethin' (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/wanna-be-startin-somethin-single-version/159292399?i=159294123&uo=4,https://music.apple.com/us/album/wanna-be-startin-somethin-single-version/159292399?i=159294123&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/c2/76/ff/c276ffaa-ffaa-ec97-e753-31dab7b124ec/mzaf_12819456541834310391.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1983-05-08T07:00:00Z,notExplicit,notExplicit,2.0,1.0,21.0,18.0,260888,USA,USD,Pop,True,,,,,,,,,,,
14,track,feature-movie,,1312934169.0,957056432,Matthew Vaughn,Kingsman 2 Movie Collection,Kingsman: The Secret Service,Kingsman 2 Movie Collection,Kingsman: The Secret Service,,https://itunes.apple.com/us/movie/kingsman-the-secret-service/id957056432?uo=4,https://itunes.apple.com/us/movie/kingsman-the-secret-service/id957056432?uo=4,https://video-ssl.itunes.apple.com/itunes-assets/Video128/v4/80/3c/d2/803cd22e-6106-6405-7c58-b66474938b9a/mzvf_1749685159841077409.640x352.h264lc.U.p.m4v,https://is5-ssl.mzstatic.com/image/thumb/Video3/v4/f7/5b/b2/f75bb2dd-f38b-edf6-c726-6c5d31b6a29f/pr_source.lsr/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Video3/v4/f7/5b/b2/f75bb2dd-f38b-edf6-c726-6c5d31b6a29f/pr_source.lsr/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Video3/v4/f7/5b/b2/f75bb2dd-f38b-edf6-c726-6c5d31b6a29f/pr_source.lsr/100x100bb.jpg,14.99,14.99,2015-02-13T08:00:00Z,notExplicit,notExplicit,1.0,1.0,2.0,1.0,7749032,USA,USD,Action & Adventure,,345346894.0,https://itunes.apple.com/us/artist/20th-century-fox-film/345346894?uo=4,3.99,14.99,14.99,3.99,R,A super-secret organization recruits an unrefined but promising street kid into the agency's ultra-,"A super-secret organization recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a dire global threat emerges from a twisted tech genius. A phenomenal cast, including Colin Firth, Samuel L. Jackson and Michael Caine, lead this action-packed spy-thriller directed by Matthew Vaughn (X-Men: First Class).",True,
15,track,song,32940.0,159292399.0,159295880,Michael Jackson,The Essential Michael Jackson,You Are Not Alone,The Essential Michael Jackson,You Are Not Alone (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/you-are-not-alone-single-version/159292399?i=159295880&uo=4,https://music.apple.com/us/album/you-are-not-alone-single-version/159292399?i=159295880&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/e0/1d/63/e01d631f-3aab-46f0-2710-f9b1558f6e77/mzaf_12562350444357512048.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1995-08-15T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,16.0,295354,USA,USD,Pop,True,,,,,,,,,,,
16,track,song,32940.0,159292399.0,159295684,Michael Jackson,The Essential Michael Jackson,Will You Be There,The Essential Michael Jackson,Will You Be There (Single Version),https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/will-you-be-there-single-version/159292399?i=159295684&uo=4,https://music.apple.com/us/album/will-you-be-there-single-version/159292399?i=159295684&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/41/8e/17/418e170a-e840-4d62-a52b-bf7287793428/mzaf_12616723916874337623.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1993-06-28T07:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,14.0,224015,USA,USD,Pop,True,,,,,,,,,,,
17,track,song,32940.0,159292399.0,159295548,Michael Jackson,The Essential Michael Jackson,Remember the Time,The Essential Michael Jackson,Remember the Time,https://music.apple.com/us/artist/michael-jackson/32940?uo=4,https://music.apple.com/us/album/remember-the-time/159292399?i=159295548&uo=4,https://music.apple.com/us/album/remember-the-time/159292399?i=159295548&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/87/aa/29/87aa2918-c3dd-dc59-82c7-868ba12dc11f/mzaf_18021770857534065286.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music125/v4/3d/9d/38/3d9d3811-71f0-3a0e-1ada-3004e56ff852/827969428726.jpg/100x100bb.jpg,16.99,1.29,1991-11-26T08:00:00Z,notExplicit,notExplicit,2.0,2.0,17.0,11.0,240745,USA,USD,Pop,True,,,,,,,,,,,
